date,year,tournament,match_weight,home_team,away_team,home_goals,away_goals,outcome,neutral
2002-04-17,2002,Friendly,0.3,Belize,Nicaragua,7.0,1.0,1,False
2002-04-17,2002,Friendly,0.3,Croatia,Bosnia and Herzegovina,2.0,0.0,1,False
2002-04-17,2002,Friendly,0.3,Denmark,Israel,3.0,1.0,1,False
2002-04-17,2002,Friendly,0.3,Ecuador,South Africa,0.0,0.0,0,True
2002-04-17,2002,Friendly,0.3,England,Paraguay,4.0,0.0,1,False
2002-04-17,2002,Friendly,0.3,France,Russia,0.0,0.0,0,False
2002-04-17,2002,Friendly,0.3,Germany,Argentina,0.0,1.0,-1,False
2002-04-17,2002,Friendly,0.3,Greece,Czech Republic,0.0,0.0,0,False
2002-04-17,2002,Friendly,0.3,Hungary,Belarus,2.0,5.0,-1,False
2002-04-17,2002,Friendly,0.3,Republic of Ireland,United States,2.0,1.0,1,False
2002-04-17,2002,Friendly,0.3,Italy,Uruguay,1.0,1.0,0,False
2002-04-17,2002,Friendly,0.3,Japan,Costa Rica,1.0,1.0,0,False
2002-04-17,2002,Friendly,0.3,Latvia,Kazakhstan,2.0,1.0,1,False
2002-04-17,2002,Friendly,0.3,Luxembourg,Liechtenstein,3.0,3.0,0,False
2002-04-17,2002,Friendly,0.3,North Macedonia,Finland,1.0,0.0,1,False
2002-04-17,2002,Friendly,0.3,Malta,Azerbaijan,1.0,0.0,1,False
2002-04-17,2002,Friendly,0.3,Mexico,Bulgaria,1.0,0.0,1,True
2002-04-17,2002,Friendly,0.3,Northern Ireland,Spain,0.0,5.0,-1,False
2002-04-17,2002,Friendly,0.3,Norway,Sweden,0.0,0.0,0,False
2002-04-17,2002,Friendly,0.3,Poland,Romania,1.0,2.0,-1,False
2002-04-17,2002,Friendly,0.3,Portugal,Brazil,1.0,1.0,0,False
2002-04-17,2002,Friendly,0.3,Scotland,Nigeria,1.0,2.0,-1,False
2002-04-17,2002,Friendly,0.3,Serbia,Lithuania,4.0,1.0,1,False
2002-04-17,2002,Friendly,0.3,Slovenia,Tunisia,1.0,0.0,1,False
2002-04-17,2002,Friendly,0.3,Turkey,Chile,2.0,0.0,1,True
2002-04-17,2002,Friendly,0.3,Ukraine,Georgia,2.0,1.0,1,False
2002-04-21,2002,Friendly,0.3,South Korea,Costa Rica,2.0,0.0,1,False
2002-04-21,2002,COSAFA Cup,0.5,Eswatini,Namibia,2.0,1.0,1,False
2002-04-27,2002,Friendly,0.3,South Korea,China PR,0.0,0.0,0,False
2002-04-29,2002,Kirin Cup,0.5,Japan,Slovakia,1.0,0.0,1,False
2002-05-02,2002,Kirin Cup,0.5,Japan,Honduras,3.0,3.0,0,False
2002-05-04,2002,Friendly,0.3,Malawi,Tanzania,1.0,0.0,1,False
2002-05-04,2002,Friendly,0.3,Nigeria,Kenya,3.0,0.0,1,False
2002-05-05,2002,COSAFA Cup,0.5,Zimbabwe,Eswatini,0.0,2.0,-1,False
2002-05-06,2002,Muratti Vase,0.5,Jersey,Guernsey,2.0,1.0,1,False
2002-05-07,2002,Friendly,0.3,Venezuela,Colombia,0.0,0.0,0,False
2002-05-08,2002,Friendly,0.3,Ecuador,Serbia,1.0,0.0,1,True
2002-05-08,2002,Friendly,0.3,Hungary,Croatia,0.0,2.0,-1,False
2002-05-09,2002,Friendly,0.3,Costa Rica,Colombia,1.0,2.0,-1,False
2002-05-09,2002,Friendly,0.3,Germany,Kuwait,7.0,0.0,1,False
2002-05-11,2002,Friendly,0.3,Kenya,Tanzania,1.0,0.0,1,False
2002-05-12,2002,Friendly,0.3,Mexico,Colombia,2.0,1.0,1,False
2002-05-12,2002,Friendly,0.3,South Africa,Madagascar,1.0,0.0,1,False
2002-05-12,2002,Friendly,0.3,United States,Uruguay,2.0,1.0,1,False
2002-05-14,2002,Friendly,0.3,Belgium,Algeria,0.0,0.0,0,False
2002-05-14,2002,Friendly,0.3,Norway,Japan,3.0,0.0,1,False
