date,year,tournament,match_weight,home_team,away_team,home_goals,away_goals,outcome,neutral,home_elo,away_elo,elo_diff,home_elo_adj,expected_home,K,elo_delta,home_form,away_form,form_diff
1982-06-18,1982,FIFA World Cup,1.0,Italy,Peru,1.0,1.0,0,True,1740.6,1631.5,109.1,1740.6,0.6521,60,-9.13,-23.74000000000001,35.3,-59.040000000000006
1982-06-19,1982,FIFA World Cup,1.0,Belgium,El Salvador,1.0,0.0,1,True,1761.9,1555.4,206.5,1761.9,0.7665,60,14.01,46.16999999999999,-11.23,57.39999999999999
1982-06-19,1982,FIFA World Cup,1.0,Poland,Cameroon,0.0,0.0,0,True,1782.7,1635.8,146.9,1782.7,0.6996,60,-11.98,-17.080000000000005,13.239999999999997,-30.32
1982-06-19,1982,FIFA World Cup,1.0,Russia,New Zealand,3.0,0.0,1,True,1804.1,1608.3,195.9,1804.1,0.7554,60,14.68,-8.009999999999998,-43.190000000000005,35.18000000000001
1982-06-20,1982,FIFA World Cup,1.0,England,Czechoslovakia,2.0,0.0,1,True,1773.5,1698.1,75.5,1773.5,0.6069,60,23.58,63.06000000000002,-32.03999999999999,95.10000000000001
1982-06-20,1982,FIFA World Cup,1.0,Germany,Chile,4.0,1.0,1,True,1856.3,1618.2,238.1,1856.3,0.7975,60,12.15,-32.20000000000002,-33.86999999999999,1.6699999999999733
1982-06-20,1982,FIFA World Cup,1.0,Spain,Yugoslavia,2.0,1.0,1,False,1686.5,1726.8,-40.3,1786.5,0.5851,60,24.9,14.099999999999996,-22.190000000000012,36.290000000000006
1982-06-21,1982,FIFA World Cup,1.0,Algeria,Austria,0.0,2.0,-1,True,1697.4,1778.9,-81.5,1697.4,0.3848,60,-23.09,10.66,64.23000000000002,-53.57000000000002
1982-06-21,1982,FIFA World Cup,1.0,France,Kuwait,4.0,1.0,1,True,1654.7,1675.8,-21.1,1654.7,0.4697,60,31.82,-16.28,-45.4,29.119999999999997
1982-06-21,1982,FIFA World Cup,1.0,Honduras,Northern Ireland,1.0,1.0,0,True,1593.1,1615.9,-22.8,1593.1,0.4672,60,1.97,5.020000000000014,-7.7500000000000275,12.770000000000042
1982-06-22,1982,FIFA World Cup,1.0,Poland,Peru,5.0,1.0,1,True,1770.7,1640.6,130.1,1770.7,0.6789,60,19.26,-11.160000000000007,12.189999999999998,-23.350000000000005
1982-06-22,1982,FIFA World Cup,1.0,Belgium,Hungary,1.0,1.0,0,True,1775.9,1660.3,115.6,1775.9,0.6605,60,-9.63,32.36999999999999,-17.710000000000015,50.080000000000005
1982-06-22,1982,FIFA World Cup,1.0,Russia,Scotland,2.0,2.0,0,True,1818.8,1692.5,126.3,1818.8,0.6742,60,-10.45,-20.129999999999995,13.33000000000002,-33.460000000000015
1982-06-23,1982,FIFA World Cup,1.0,Argentina,El Salvador,2.0,0.0,1,True,1778.7,1541.4,237.3,1778.7,0.7967,60,12.2,7.159999999999966,-38.59,45.74999999999997
1982-06-23,1982,FIFA World Cup,1.0,Brazil,New Zealand,4.0,0.0,1,True,1924.4,1593.6,330.8,1924.4,0.8704,60,7.78,40.439999999999976,-73.19,113.62999999999997
1982-06-23,1982,FIFA World Cup,1.0,Italy,Cameroon,1.0,1.0,0,True,1731.5,1647.8,83.7,1731.5,0.6182,60,-7.09,-21.94000000000001,13.759999999999996,-35.7
1982-06-24,1982,FIFA World Cup,1.0,Algeria,Chile,3.0,2.0,1,True,1674.3,1606.1,68.2,1674.3,0.597,60,24.18,52.14,-63.80999999999999,115.94999999999999
1982-06-24,1982,FIFA World Cup,1.0,France,Czechoslovakia,1.0,1.0,0,True,1686.5,1674.5,12.0,1686.5,0.5173,60,-1.04,-22.53,-34.129999999999995,11.599999999999994
1982-06-24,1982,FIFA World Cup,1.0,Honduras,Yugoslavia,0.0,1.0,-1,True,1595.1,1701.9,-106.9,1595.1,0.3509,60,-21.05,-12.399999999999988,2.1699999999999875,-14.569999999999975
